,ts_code,cluster_id
2648,600523,151
2125,300757,151
1520,300134,151
2757,600650,152
2171,300808,152
1704,300321,152
1641,300258,152
257,722,152
1922,300545,152
3069,688096,152
1744,300363,153
2126,300758,153
3123,688299,153
1999,300624,153
2166,300802,153
1814,300435,153
3173,688556,153
1775,300395,153
1764,300384,153
1867,300488,154
2060,300686,154
2190,300828,154
2122,300753,154
1363,2971,154
1356,2962,154
2242,300885,154
1346,2949,154
1374,2983,154
1761,300381,155
691,2253,155
1337,2935,155
780,2344,155
2273,600053,155
1152,2729,155
2145,300779,156
1994,300619,156
1086,2657,156
1579,300195,156
1294,2886,156
2130,300762,157
1896,300517,157
718,2282,157
1353,2957,157
888,2454,157
2041,300667,157
1006,2576,157
1759,300379,157
1242,2829,157
139,555,158
2740,600629,158
436,997,158
2466,600283,159
1387,2997,159
286,779,159
2058,300684,159
2844,600750,160
1217,2801,160
1518,300132,160
1933,300556,161
2115,300746,161
2199,300838,161
2204,300843,162
1328,2923,162
1238,2825,162
1259,2849,162
1880,300501,162
2237,300879,162
2574,600419,162
1975,300599,162
2216,300857,162
1463,300075,163
2033,300659,163
2007,300632,163
2960,600882,163
1275,2866,163
891,2457,163
1262,2852,163
838,2403,163
3023,688006,164
1953,300577,164
1223,2809,164
1364,2972,164
1360,2968,164
874,2439,164
1295,2887,164
1807,300427,164
2412,600218,164
2134,300767,164
939,2507,165
1522,300136,165
2013,300638,166
998,2568,166
1224,2810,166
692,2254,166
1308,2901,166
878,2443,166
1055,2626,167
973,2543,167
1159,2737,167
3106,688208,167
2003,300628,167
465,2022,167
1556,300171,167
2140,300773,167
841,2406,168
349,880,168
845,2410,168
460,2016,168
2822,600727,168
729,2293,168
1103,2675,168
1532,300146,169
1034,2605,169
2149,300783,169
1257,2847,170
2027,300653,170
529,2088,170
1324,2919,170
1629,300246,170
2098,300726,170
1320,2915,171
2944,600865,171
1174,2753,171
1786,300406,171
1074,2645,171
2029,300655,171
2032,300658,172
1776,300396,172
2132,300765,172
1818,300439,172
3082,688128,172
1505,300119,172
1261,2851,172
1078,2649,172
1688,300305,172
1986,300610,173
1958,300582,173
2214,300855,173
2135,300768,173
2059,300685,173
269,738,173
2090,300718,173
1218,2802,173
2070,300696,173
1072,2643,174
100,507,174
968,2538,174
613,2174,174
518,2077,174
528,2087,174
275,756,174
711,2275,174
1292,2884,175
376,913,175
469,2026,175
746,2310,176
331,839,176
215,667,176
1059,2630,176
1149,2726,177
2537,600370,177
594,2155,177
2691,600575,177
1128,2701,177
2333,600125,177
2987,600962,178
1511,300125,178
2509,600333,178
1690,300307,179
1022,2592,179
2568,600408,179
153,573,179
404,955,179
687,2249,180
225,680,180
2571,600415,180
330,838,180
368,903,180
643,2204,180
490,2047,180
1650,300267,181
3000,600979,181
2878,600789,181
892,2458,181
2579,600425,181
88,426,181
756,2320,181
42,61,181
657,2218,181
73,407,182
2384,600186,182
931,2498,182
1497,300111,182
2956,600877,182
403,953,182
602,2163,182
855,2420,182
685,2247,182
1091,2662,182
3051,688055,183
872,2437,183
2283,600063,183
2978,600917,183
700,2264,183
1344,2946,183
109,520,183
2405,600210,183
2689,600572,183
716,2280,184
194,629,184
666,2228,184
